NPU,Coral EdgeTPU USB Type-C,1,_data/datasheets/Coral-USB-Accelerator-datasheet.pdf,https://coral.ai/products/accelerator/,Loose,100,140,30
M3 screw (16),16 mm long M3 screw with phillips socket,4,,,Hardware,5,5,16
M3 nut,regular M3 nut,4,,,Hardware,5,5,4
