NB3 Hindbrain,ICE40UP5K dev board with ADC/DAC,1,NB3_hindbrain,VK,Hindbrain,60,30,20
Cable (MicroUSB-1m),Micro-USB to Type-A cable (1 m),1,,,Loose,100,50,15
